Place Name,Safety Rating (5.0),Lighting,Lighting Score,Police Presence,Emergency Services (m),Crime Beat ID,Crowd Density,Overall Status
Velachery West Zone-68,2.6,Moderate,93%,Yes,1952m,CHN0001,Medium,Unsafe
Velachery West Zone-46,3.8,Poor,75%,Yes,1466m,CHN0002,Medium,Moderate
Sholinganallur Zone-59,2.9,Moderate,70%,No,256m,CHN0003,Low,Unsafe
Ashok Nagar Zone-90,3.0,Poor,69%,No,332m,CHN0004,Low,Unsafe
Thiruvottriyur Zone-47,2.9,Good,78%,No,1216m,CHN0005,High,Unsafe
Mylapore Zone-99,4.5,Moderate,80%,Yes,1553m,CHN0006,Medium,Safe
Porur Zone-37,3.3,Good,73%,No,836m,CHN0007,High,Moderate
Thousand Lights Zone-18,4.4,Poor,63%,Yes,1919m,CHN0008,Medium,Safe
Kotturpuram Zone-43,2.5,Poor,60%,Yes,1353m,CHN0009,Low,Unsafe
Perambur Zone-85,3.4,Good,70%,Yes,1104m,CHN0010,Medium,Moderate
Royapuram Zone-60,4.4,Moderate,80%,Yes,635m,CHN0011,Medium,Safe
Mogappair Zone-81,2.5,Moderate,73%,Yes,1207m,CHN0012,Low,Unsafe
Teynampet Zone-68,3.7,Moderate,89%,No,483m,CHN0013,Medium,Moderate
Nungambakkam Zone-59,2.8,Poor,62%,Yes,1873m,CHN0014,Low,Unsafe
Ashok Nagar Zone-26,3.8,Moderate,68%,Yes,1191m,CHN0015,Low,Moderate
Mogappair Zone-18,2.5,Moderate,84%,No,1176m,CHN0016,Medium,Unsafe
Guindy Zone-90,4.3,Moderate,72%,Yes,1855m,CHN0017,Low,Safe
Egmore Zone-60,3.6,Poor,86%,Yes,560m,CHN0018,Medium,Moderate
Royapuram Zone-37,4.3,Good,94%,Yes,1766m,CHN0019,Low,Safe
Velachery East Zone-62,2.7,Poor,95%,Yes,625m,CHN0020,Low,Unsafe
Villivakkam Zone-14,3.7,Moderate,87%,Yes,1964m,CHN0021,Low,Moderate
Thiruvottriyur Zone-99,4.9,Moderate,74%,Yes,1549m,CHN0022,Medium,Safe
Adyar Zone-45,3.6,Moderate,64%,No,1792m,CHN0023,Low,Moderate
Vandalur Zone-80,4.9,Good,90%,No,1419m,CHN0024,Medium,Safe
Medavakkam Zone-10,4.1,Good,76%,Yes,257m,CHN0025,Low,Moderate
Thousand Lights Zone-34,3.3,Moderate,95%,No,1281m,CHN0026,Medium,Moderate
Parrys Zone-26,2.9,Poor,68%,Yes,1557m,CHN0027,Low,Unsafe
Thirumullaivoyal Zone-16,4.8,Poor,69%,No,1186m,CHN0028,Medium,Safe
Vepery Zone-28,4.1,Good,83%,Yes,671m,CHN0029,Medium,Moderate
Kilpauk Zone-98,3.7,Good,65%,Yes,919m,CHN0030,High,Moderate
Royapettah Zone-33,4.3,Poor,88%,No,1480m,CHN0031,Low,Safe
Anna Nagar Zone-24,3.4,Moderate,97%,No,1922m,CHN0032,Low,Moderate
Velachery Zone-11,3.7,Moderate,65%,Yes,1846m,CHN0033,High,Moderate
Avadi Zone-10,4.3,Good,63%,Yes,375m,CHN0034,High,Safe
Alwarpet Zone-13,3.5,Good,99%,Yes,1729m,CHN0035,Medium,Moderate
